puzzle_id,difficulty,empty_cells,time_ms,solved,correct,steps
154,Medium,47,0.945,True,True,47
155,Medium,47,1.118,True,True,47
156,Medium,47,0.926,True,True,47
157,Medium,47,1.336,True,True,47
158,Medium,47,0.954,True,True,47
159,Medium,47,1.084,True,True,47
160,Medium,47,0.868,True,True,47
161,Medium,47,0.9,True,True,47
162,Medium,47,1.111,True,True,47
163,Medium,47,0.854,True,True,47
164,Medium,47,1.152,True,True,47
165,Medium,47,1.124,True,True,47
166,Medium,47,1.026,True,True,47
167,Medium,47,0.956,True,True,47
168,Medium,47,0.908,True,True,47
169,Medium,47,1.048,True,True,47
170,Medium,47,1.174,True,True,47
171,Medium,47,1.432,True,True,47
172,Medium,47,0.958,True,True,47
173,Medium,47,0.863,True,True,47
174,Medium,47,1.171,True,True,47
175,Medium,47,0.929,True,True,47
176,Medium,47,1.121,True,True,47
177,Medium,47,0.998,True,True,47
178,Medium,47,1.115,True,True,47
179,Medium,47,0.846,True,True,47
180,Medium,47,1.256,True,True,47
181,Medium,47,1.322,True,True,47
182,Medium,47,1.353,True,True,47
183,Medium,47,1.259,True,True,47
184,Medium,47,1.15,True,True,47
185,Medium,47,1.118,True,True,47
186,Medium,47,1.153,True,True,47
187,Medium,47,1.09,True,True,47
188,Medium,47,0.98,True,True,47
189,Medium,47,0.985,True,True,47
190,Medium,47,0.993,True,True,47
191,Medium,47,0.997,True,True,47
192,Medium,47,0.903,True,True,47
193,Medium,47,0.886,True,True,47
194,Medium,47,0.914,True,True,47
195,Medium,47,1.374,True,True,47
196,Medium,47,0.94,True,True,47
197,Medium,47,0.874,True,True,47
198,Medium,47,1.112,True,True,47
199,Medium,47,0.939,True,True,47
200,Medium,47,0.858,True,True,47
201,Hard,48,0.877,True,True,48
202,Hard,48,0.863,True,True,48
203,Hard,48,0.872,True,True,48
204,Hard,48,1.0,True,True,48
205,Hard,48,0.923,True,True,48
206,Hard,48,0.918,True,True,48
207,Hard,48,0.926,True,True,48
208,Hard,48,0.998,True,True,48
209,Hard,48,1.247,True,True,48
210,Hard,48,1.049,True,True,48
211,Hard,48,0.989,True,True,48
212,Hard,48,1.09,True,True,48
213,Hard,48,0.947,True,True,48
214,Hard,48,0.877,True,True,48
215,Hard,48,0.881,True,True,48
216,Hard,48,0.89,True,True,48
217,Hard,48,0.943,True,True,48
218,Hard,48,0.932,True,True,48
219,Hard,48,0.92,True,True,48
220,Hard,48,0.924,True,True,48
221,Hard,48,0.933,True,True,48
222,Hard,48,1.032,True,True,48
223,Hard,48,1.437,True,True,48
224,Hard,48,0.971,True,True,48
225,Hard,48,1.117,True,True,48
226,Hard,48,0.996,True,True,48
227,Hard,48,1.099,True,True,48
228,Hard,48,0.937,True,True,48
229,Hard,48,0.991,True,True,48
230,Hard,48,0.91,True,True,48
231,Hard,48,0.92,True,True,48
232,Hard,48,0.924,True,True,48
233,Hard,48,1.108,True,True,48
234,Hard,48,0.994,True,True,48
235,Hard,48,1.128,True,True,48
236,Hard,48,1.001,True,True,48
237,Hard,48,0.926,True,True,48
238,Hard,48,1.127,True,True,48
239,Hard,48,0.939,True,True,48
240,Hard,48,1.161,True,True,48
241,Hard,48,1.142,True,True,48
242,Hard,48,1.153,True,True,48
243,Hard,48,0.915,True,True,48
244,Hard,48,1.002,True,True,48
245,Hard,48,0.988,True,True,48
246,Hard,48,0.921,True,True,48
247,Hard,48,1.072,True,True,48
248,Hard,48,1.022,True,True,48
249,Hard,48,1.137,True,True,48
250,Hard,48,1.098,True,True,48
251,Hard,48,0.93,True,True,48
252,Hard,48,1.234,True,True,48
253,Hard,48,0.924,True,True,48
254,Hard,48,0.911,True,True,48
255,Hard,48,1.428,True,True,48
256,Hard,48,1.067,True,True,48
257,Hard,48,1.021,True,True,48
258,Hard,48,1.208,True,True,48
259,Hard,48,0.905,True,True,48
260,Hard,48,1.221,True,True,48
261,Hard,48,1.604,True,True,48
262,Hard,48,0.974,True,True,48
263,Hard,48,0.923,True,True,48
264,Hard,48,0.966,True,True,48
265,Hard,48,0.886,True,True,48
266,Hard,48,0.967,True,True,48
267,Hard,48,1.064,True,True,48
268,Hard,48,1.094,True,True,48
269,Hard,48,0.92,True,True,48
270,Hard,48,0.916,True,True,48
271,Hard,48,0.925,True,True,48
272,Hard,48,0.982,True,True,48
273,Hard,48,0.884,True,True,48
274,Hard,48,1.238,True,True,48
275,Hard,48,1.638,True,True,48
276,Hard,48,1.292,True,True,48
277,Hard,48,1.303,True,True,48
278,Hard,48,1.736,True,True,48
279,Hard,48,1.916,True,True,48
280,Hard,48,1.398,True,True,48
281,Hard,48,1.46,True,True,48
282,Hard,48,4.03,True,True,48
283,Hard,48,3.263,True,True,48
284,Hard,48,2.895,True,True,48
285,Hard,48,3.51,True,True,48
286,Hard,48,1.539,True,True,48
287,Hard,48,1.219,True,True,48
288,Hard,48,1.286,True,True,48
289,Hard,48,1.382,True,True,48
290,Hard,48,1.328,True,True,48
291,Hard,48,1.317,True,True,48
292,Hard,48,1.305,True,True,48
293,Hard,48,1.426,True,True,48
294,Hard,48,1.327,True,True,48
295,Hard,48,1.306,True,True,48
296,Hard,48,1.228,True,True,48
297,Hard,48,1.165,True,True,48
298,Hard,48,1.136,True,True,48
299,Hard,48,1.236,True,True,48
300,Hard,48,1.098,True,True,48
301,Extreme,49,1.121,True,True,49
302,Extreme,49,1.049,True,True,49
303,Extreme,49,0.98,True,True,49
304,Extreme,50,1.693,True,True,50
305,Extreme,49,1.685,True,True,49
306,Extreme,49,1.175,True,True,49
307,Extreme,49,1.207,True,True,49
308,Extreme,49,0.965,True,True,49
309,Extreme,49,0.927,True,True,49
310,Extreme,49,1.09,True,True,49
311,Extreme,49,1.079,True,True,49
312,Extreme,49,1.243,True,True,49
313,Extreme,49,1.001,True,True,49
314,Extreme,49,1.249,True,True,49
315,Extreme,49,1.005,True,True,49
316,Extreme,49,1.539,True,True,49
317,Extreme,49,1.967,True,True,49
318,Extreme,49,1.013,True,True,49
319,Extreme,49,1.103,True,True,49
320,Extreme,49,0.946,True,True,49
321,Extreme,49,1.019,True,True,49
322,Extreme,49,1.313,True,True,49
323,Extreme,49,1.01,True,True,49
324,Extreme,50,1.203,True,True,50
325,Extreme,49,1.13,True,True,49
326,Extreme,49,0.968,True,True,49
327,Extreme,49,1.143,True,True,49
328,Extreme,49,3.12,True,True,49
329,Extreme,49,1.537,True,True,49
330,Extreme,49,2.028,True,True,49
331,Extreme,49,1.738,True,True,49
332,Extreme,50,3.037,True,True,50
333,Extreme,49,2.209,True,True,49
334,Extreme,49,21.455,True,True,49
335,Extreme,49,1.523,True,True,49
336,Extreme,49,1.614,True,True,49
337,Extreme,49,2.163,True,True,49
338,Extreme,49,1.725,True,True,49
339,Extreme,49,1.722,True,True,49
340,Extreme,49,1.659,True,True,49
341,Extreme,49,2.788,True,True,49
342,Extreme,49,1.853,True,True,49
343,Extreme,49,2.08,True,True,49
344,Extreme,49,4.704,True,True,49
345,Extreme,50,4.927,True,True,50
346,Extreme,49,3.87,True,True,49
347,Extreme,49,4.99,True,True,49
348,Extreme,49,2.761,True,True,49
349,Extreme,49,2.532,True,True,49
350,Extreme,50,1.954,True,True,50
351,Extreme,49,4.219,True,True,49
352,Extreme,50,2.053,True,True,50
353,Extreme,49,2.8,True,True,49
354,Extreme,49,2.516,True,True,49
355,Extreme,50,1.747,True,True,50
356,Extreme,49,2.273,True,True,49
357,Extreme,49,1.909,True,True,49
358,Extreme,49,2.52,True,True,49
359,Extreme,49,1.492,True,True,49
360,Extreme,49,2.134,True,True,49
361,Extreme,49,2.417,True,True,49
362,Extreme,49,1.39,True,True,49
363,Extreme,49,1.444,True,True,49
364,Extreme,49,1.261,True,True,49
365,Extreme,49,1.17,True,True,49
366,Extreme,49,1.326,True,True,49
367,Extreme,49,1.813,True,True,49
368,Extreme,49,1.836,True,True,49
369,Extreme,49,2.16,True,True,49
370,Extreme,49,1.351,True,True,49
371,Extreme,49,1.384,True,True,49
372,Extreme,49,1.712,True,True,49
373,Extreme,49,1.731,True,True,49
374,Extreme,49,1.843,True,True,49
375,Extreme,49,2.287,True,True,49
376,Extreme,49,2.448,True,True,49
377,Extreme,49,1.99,True,True,49
378,Extreme,49,1.51,True,True,49
379,Extreme,49,1.119,True,True,49
380,Extreme,50,1.112,True,True,50
381,Extreme,49,1.147,True,True,49
382,Extreme,49,1.107,True,True,49
383,Extreme,49,1.104,True,True,49
384,Extreme,49,1.362,True,True,49
385,Extreme,50,1.625,True,True,50
386,Extreme,49,2.258,True,True,49
387,Extreme,49,1.919,True,True,49
388,Extreme,50,1.907,True,True,50
389,Extreme,49,1.918,True,True,49
390,Extreme,49,1.72,True,True,49
391,Extreme,49,2.052,True,True,49
392,Extreme,49,1.762,True,True,49
393,Extreme,49,2.972,True,True,49
394,Extreme,49,1.748,True,True,49
395,Extreme,49,1.144,True,True,49
396,Extreme,49,1.123,True,True,49
397,Extreme,49,1.136,True,True,49
398,Extreme,50,1.187,True,True,50
399,Extreme,49,1.02,True,True,49
400,Extreme,49,0.984,True,True,49
