puzzle_id,difficulty,empty_cells,time_ms,solved,correct,steps,backtracks
139,Medium,47,4.456,True,True,47,0
140,Medium,47,5.962,True,True,47,0
141,Medium,47,2.844,True,True,47,0
142,Medium,47,3.456,True,True,47,0
143,Medium,47,9.494,True,True,47,0
144,Medium,47,5.387,True,True,47,0
145,Medium,47,5.813,True,True,47,0
146,Medium,47,2.511,True,True,47,0
147,Medium,47,3.047,True,True,47,0
148,Medium,47,4.997,True,True,47,0
149,Medium,47,4.317,True,True,47,0
150,Medium,47,3.473,True,True,47,0
151,Medium,47,5.047,True,True,47,0
152,Medium,47,9.645,True,True,47,0
153,Medium,47,5.696,True,True,47,0
154,Medium,47,7.636,True,True,47,0
155,Medium,47,6.732,True,True,47,0
156,Medium,47,3.823,True,True,47,0
157,Medium,47,10.641,True,True,47,0
158,Medium,47,11.987,True,True,47,0
159,Medium,47,9.487,True,True,47,0
160,Medium,47,7.794,True,True,47,0
161,Medium,47,4.638,True,True,47,0
162,Medium,47,5.612,True,True,47,0
163,Medium,47,6.259,True,True,47,0
164,Medium,47,9.755,True,True,47,0
165,Medium,47,6.449,True,True,47,0
166,Medium,47,4.472,True,True,47,0
167,Medium,47,10.372,True,True,47,0
168,Medium,47,7.891,True,True,47,0
169,Medium,47,6.895,True,True,47,0
170,Medium,47,3.732,True,True,47,0
171,Medium,47,3.19,True,True,47,0
172,Medium,47,6.702,True,True,47,0
173,Medium,47,2.942,True,True,47,0
174,Medium,47,2.51,True,True,47,0
175,Medium,47,5.583,True,True,47,0
176,Medium,47,5.394,True,True,47,0
177,Medium,47,12.145,True,True,47,0
178,Medium,47,3.685,True,True,47,0
179,Medium,47,4.181,True,True,47,0
180,Medium,47,4.031,True,True,47,0
181,Medium,47,4.145,True,True,47,0
182,Medium,47,3.047,True,True,47,0
183,Medium,47,4.571,True,True,47,0
184,Medium,47,2.809,True,True,47,0
185,Medium,47,11.155,True,True,47,0
186,Medium,47,5.152,True,True,47,0
187,Medium,47,5.57,True,True,47,0
188,Medium,47,7.388,True,True,47,0
189,Medium,47,6.546,True,True,47,0
190,Medium,47,7.983,True,True,47,0
191,Medium,47,10.76,True,True,47,0
192,Medium,47,4.976,True,True,47,0
193,Medium,47,4.592,True,True,47,0
194,Medium,47,3.016,True,True,47,0
195,Medium,47,5.832,True,True,47,0
196,Medium,47,4.87,True,True,47,0
197,Medium,47,1.876,True,True,47,0
198,Medium,47,3.711,True,True,47,0
199,Medium,47,2.244,True,True,47,0
200,Medium,47,7.549,True,True,47,0
201,Hard,48,5.629,True,True,48,0
202,Hard,48,7.105,True,True,48,0
203,Hard,48,12.235,True,True,48,0
204,Hard,48,3.191,True,True,48,0
205,Hard,48,8.373,True,True,48,0
206,Hard,48,2.411,True,True,48,0
207,Hard,48,7.422,True,True,48,0
208,Hard,48,4.006,True,True,48,0
209,Hard,48,2.563,True,True,48,0
210,Hard,48,7.624,True,True,48,0
211,Hard,48,18.521,True,True,48,0
212,Hard,48,6.435,True,True,48,0
213,Hard,48,10.516,True,True,48,0
214,Hard,48,4.438,True,True,48,0
215,Hard,48,7.604,True,True,48,0
216,Hard,48,5.77,True,True,48,0
217,Hard,48,3.135,True,True,48,0
218,Hard,48,2.6,True,True,48,0
219,Hard,48,4.318,True,True,48,0
220,Hard,48,4.195,True,True,48,0
221,Hard,48,2.427,True,True,48,0
222,Hard,48,8.069,True,True,48,0
223,Hard,48,6.248,True,True,48,0
224,Hard,48,5.127,True,True,48,0
225,Hard,48,11.245,True,True,48,0
226,Hard,48,7.38,True,True,48,0
227,Hard,48,4.676,True,True,48,0
228,Hard,48,5.613,True,True,48,0
229,Hard,48,3.365,True,True,48,0
230,Hard,48,9.891,True,True,48,0
231,Hard,48,9.434,True,True,48,0
232,Hard,48,4.571,True,True,48,0
233,Hard,48,8.926,True,True,48,0
234,Hard,48,8.73,True,True,48,0
235,Hard,48,15.758,True,True,48,0
236,Hard,48,6.703,True,True,48,0
237,Hard,48,15.368,True,True,48,0
238,Hard,48,4.037,True,True,48,0
239,Hard,48,3.077,True,True,48,0
240,Hard,48,4.491,True,True,48,0
241,Hard,48,5.315,True,True,48,0
242,Hard,48,4.548,True,True,48,0
243,Hard,48,2.426,True,True,48,0
244,Hard,48,16.511,True,True,48,0
245,Hard,48,8.01,True,True,48,0
246,Hard,48,5.902,True,True,48,0
247,Hard,48,4.655,True,True,48,0
248,Hard,48,2.558,True,True,48,0
249,Hard,48,7.066,True,True,48,0
250,Hard,48,5.323,True,True,48,0
251,Hard,48,14.103,True,True,48,0
252,Hard,48,9.878,True,True,48,0
253,Hard,48,6.481,True,True,48,0
254,Hard,48,4.462,True,True,48,0
255,Hard,48,12.85,True,True,48,0
256,Hard,48,3.864,True,True,48,0
257,Hard,48,17.858,True,True,48,0
258,Hard,48,14.182,True,True,48,0
259,Hard,48,10.428,True,True,48,0
260,Hard,48,6.251,True,True,48,0
261,Hard,48,8.812,True,True,48,0
262,Hard,48,6.395,True,True,48,0
263,Hard,48,15.92,True,True,48,0
264,Hard,48,8.75,True,True,48,0
265,Hard,48,9.306,True,True,48,0
266,Hard,48,3.782,True,True,48,0
267,Hard,48,9.538,True,True,48,0
268,Hard,48,5.701,True,True,48,0
269,Hard,48,3.554,True,True,48,0
270,Hard,48,4.189,True,True,48,0
271,Hard,48,7.762,True,True,48,0
272,Hard,48,6.745,True,True,48,0
273,Hard,48,2.493,True,True,48,0
274,Hard,48,21.002,True,True,48,0
275,Hard,48,3.834,True,True,48,0
276,Hard,48,3.625,True,True,48,0
277,Hard,48,5.098,True,True,48,0
278,Hard,48,3.889,True,True,48,0
279,Hard,48,8.684,True,True,48,0
280,Hard,48,4.164,True,True,48,0
281,Hard,48,6.853,True,True,48,0
282,Hard,48,2.548,True,True,48,0
283,Hard,48,8.924,True,True,48,0
284,Hard,48,13.044,True,True,48,0
285,Hard,48,20.791,True,True,48,0
286,Hard,48,5.426,True,True,48,0
287,Hard,48,7.428,True,True,48,0
288,Hard,48,8.04,True,True,48,0
289,Hard,48,5.943,True,True,48,0
290,Hard,48,3.547,True,True,48,0
291,Hard,48,3.648,True,True,48,0
292,Hard,48,3.871,True,True,48,0
293,Hard,48,6.068,True,True,48,0
294,Hard,48,2.55,True,True,48,0
295,Hard,48,3.011,True,True,48,0
296,Hard,48,3.324,True,True,48,0
297,Hard,48,8.437,True,True,48,0
298,Hard,48,10.757,True,True,48,0
299,Hard,48,5.24,True,True,48,0
300,Hard,48,8.214,True,True,48,0
301,Extreme,49,18.013,True,True,49,0
302,Extreme,49,10.617,True,True,49,0
303,Extreme,49,9.566,True,True,49,0
304,Extreme,50,12.049,True,True,50,0
305,Extreme,49,8.702,True,True,49,0
306,Extreme,49,9.258,True,True,49,0
307,Extreme,49,9.492,True,True,49,0
308,Extreme,49,10.91,True,True,49,0
309,Extreme,49,9.696,True,True,49,0
310,Extreme,49,3.532,True,True,49,0
