difficulty,BT_Time,CSP_Time,FC_Time,BT_Steps,CSP_Steps,FC_Steps,BT_Backtracks,CSP_Backtracks,FC_Backtracks,BT_Accuracy,CSP_Accuracy,FC_Accuracy
Easy,3.61,5.93,0.78,857.0,45.94,45.94,69.68,0.0,0.0,100.0,100.0,100.0
Medium,3.93,5.7,0.92,917.2,47.0,47.0,75.73,0.0,0.0,100.0,100.0,100.0
Hard,4.8,7.17,0.77,1111.31,48.0,48.0,96.94,0.0,0.0,100.0,100.0,100.0
Extreme,6.7,7.73,0.81,1758.95,49.11,49.11,168.2,0.0,0.0,100.0,100.0,100.0
